Match_ID,Shipley_Vocab_Raw
Sub0653_S1,34
Sub0654_S1,37
Sub0655_S1,31
Sub0656_S1,40
Sub0657_S1,26
Sub0658_S1,31
Sub0662_S1,28
Sub0663_S1,28
Sub0665_S1,29
Sub0667_S1,32
Sub0668_S1,32
Sub0670_S1,27
Sub0672_S1,29
Sub0674_S1,32
Sub0677_S1,30
Sub0678_S1,36
Sub0679_S1,34
Sub0680_S1,33
Sub0681_S1,35
Sub0682_S1,30
Sub0684_S1,30
Sub0686_S1,34
Sub0687_S1,24
Sub0688_S1,38
Sub0692_S1,26
Sub0695_S1,31
Sub0698_S1,26
Sub0700_S1,28
Sub0702_S1,33
Sub0704_S1,36
Sub0705_S1,31
Sub0707_S1,25
Sub0708_S1,35
Sub0709_S1,38
Sub0711_S1,31
Sub0712_S1,32
Sub0714_S1,38
Sub0715_S1,31
Sub0716_S1,32
Sub0718_S1,34
Sub0719_S1,32
Sub0722_S1,37
Sub0725_S1,36
Sub0727_S1,33
Sub0728_S1,35
Sub0731_S1,31
Sub0733_S1,34
Sub0735_S1,36
Sub0736_S1,31
Sub0738_S1,25
Sub0739_S1,32
Sub0742_S1,35
Sub0744_S1,31
Sub0745_S1,34
Sub0747_S1,26
Sub0748_S1,37
Sub0749_S1,32
Sub0750_S1,38
Sub0752_S1,36
Sub0753_S1,30
Sub0755_S1,28
Sub0756_S1,32
Sub0757_S1,39
Sub0760_S1,37
Sub0761_S1,34
Sub0763_S1,29
Sub0764_S1,30
Sub0765_S1,26
Sub0766_S1,35
Sub0767_S1,34
Sub0768_S1,31
Sub0769_S1,35
Sub0771_S1,26
Sub0772_S1,35
Sub0773_S1,28
Sub0775_S1,38
Sub0777_S1,36
Sub0780_S1,35
Sub0781_S1,28
Sub0783_S1,31
Sub0785_S1,33
Sub0786_S1,31
Sub0787_S1,29
Sub0789_S1,29
Sub0791_S1,27
Sub0792_S1,30
Sub0793_S1,35
Sub0795_S1,34
Sub0797_S1,35
Sub0799_S1,35
Sub0800_S1,30
Sub0801_S1,27
Sub0804_S1,33
Sub0805_S1,32
Sub0806_S1,34
Sub0808_S1,32
Sub0811_S1,38
Sub0815_S1,37
Sub0816_S1,33
Sub0821_S1,33
Sub0822_S1,39
Sub0823_S1,28
Sub0825_S1,32
Sub0826_S1,33
Sub0827_S1,31
Sub0828_S1,33
Sub0830_S1,30
Sub0831_S1,30
Sub0832_S1,35
Sub0833_S1,32
Sub0835_S1,34
Sub0836_S1,31
Sub0837_S1,36
Sub0839_S1,39
Sub0842_S1,29
Sub0847_S1,34
Sub0849_S1,30
Sub0850_S1,26
