SubID,Sex,Age,Handedness,meanFD
sub-031543,F,19,Right,0.1080784
sub-031544,F,50,Right,0.1745773
sub-031545,M,40,Right,0.07890498
sub-031546,M,38,Right,0.1034236
sub-031547,F,38,Right,0.05677723
sub-031548,F,42,Right,0.07855823
sub-031549,M,47,Right,0.1898665
sub-031551,M,23,Right,0.03731029
sub-031552,M,24,Right,0.04166716
sub-031553,F,22,Right,0.05101515
sub-031554,F,23,Right,0.0443702
sub-031555,M,39,Right,0.06341191
sub-031556,M,25,Right,0.07809762
sub-031558,F,46,Right,0.1586023
sub-031559,M,22,Right,0.1079085
sub-031560,M,42,Right,0.08842765
sub-031561,M,40,Right,0.102475
sub-031562,F,21,Right,0.05996081
sub-031563,F,21,Right,0.1204429
sub-031564,F,23,Right,0.1169792
sub-031565,M,25,Right,0.101292
sub-031566,F,19,Right,0.07852593
sub-031567,M,23,Right,0.1625017
sub-031568,F,21,Right,0.0499014
sub-031569,F,22,Right,0.05780407
sub-031570,F,20,Right,0.05443992
sub-031571,F,23,Right,0.03167815
sub-031572,F,20,Right,0.05682554
sub-031573,F,22,Right,0.04944661
sub-031574,M,23,Right,0.04855793
sub-031575,M,21,Right,0.05704698
sub-031576,M,21,Right,0.0555895
sub-031577,F,49,Right,0.09890714
sub-031579,M,20,Right,0.07762205
sub-031580,F,23,Right,0.03906344
sub-031581,F,25,Right,0.08884536
sub-031582,F,21,Right,0.1470818
sub-031583,M,35,Right,0.1181275
sub-031585,F,22,Right,0.02987341
sub-031587,M,22,Right,0.040429
sub-031588,F,20,Right,0.04108255
sub-031589,F,21,Right,0.04260877
sub-031590,M,23,Right,0.03991654
sub-031591,M,21,Right,0.06578775
sub-031592,F,20,Right,0.06018513
sub-031593,F,19,Right,0.07796903
sub-031594,F,20,Right,0.02560409
sub-031595,F,21,Right,0.02962975
sub-031596,F,24,Right,0.07051228
sub-031597,F,24,Right,0.02807688
sub-031598,F,39,Right,0.07211281
sub-031599,F,57,Right,0.03287242
sub-031600,M,22,Right,0.06467774
sub-031601,F,23,Right,0.05000375
sub-031602,M,23,Right,0.04801574
sub-031603,F,23,Right,0.04687858
sub-031604,F,23,Right,0.0646746
sub-031605,F,23,Right,0.04692826
sub-031606,F,23,Right,0.05772879
sub-031607,M,22,Right,0.04610842
sub-031609,F,24,Right,0.06909165
sub-031610,M,24,Right,0.05718239
sub-031611,F,19,Right,0.05777551
sub-031612,F,23,Right,0.09022083
sub-031613,M,21,Right,0.04694078
sub-031614,F,26,Right,0.0426809
sub-031615,F,23,Right,0.08964371
sub-031616,F,22,Right,0.1408105
sub-031617,F,23,Right,0.0833902
sub-031618,F,23,Right,0.09200591
sub-031619,F,23,Right,0.03197786
sub-031620,F,23,Right,0.05053816
sub-031622,F,25,Right,0.0977588
sub-031623,M,25,Right,0.04054029
sub-031624,F,23,Right,0.05795
sub-031625,F,48,Right,0.0598849
